City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Port Hardy,CA,2022-05-07 18:14:01,50.6996,-127.4199,51.98,58,75,11.5
197,Sotouboua,TG,2022-05-07 18:14:02,8.5667,0.9833,84.72,52,79,3.0
198,Irshava,UA,2022-05-07 18:14:03,48.3167,23.0385,58.41,81,50,4.43
199,Husavik,IS,2022-05-07 18:14:03,66.0449,-17.3389,42.15,72,100,3.65
200,Souillac,MU,2022-05-07 18:14:04,-20.5167,57.5167,75.58,88,40,9.22
201,Saint Anthony,US,2022-05-07 18:10:21,45.0205,-93.218,72.93,34,0,19.57
202,Maturin,VE,2022-05-07 18:14:05,9.75,-63.1767,87.66,54,93,5.12
203,Faanui,PF,2022-05-07 18:14:05,-16.4833,-151.75,80.56,78,12,7.76
204,Marabella,TT,2022-05-07 18:14:06,10.3062,-61.4467,89.01,59,84,6.71
205,Kirn,DE,2022-05-07 18:14:07,49.7833,7.45,63.86,57,100,4.38
206,Gigmoto,PH,2022-05-07 18:14:07,13.7796,124.39,80.15,87,21,9.44
207,Zhigansk,RU,2022-05-07 18:12:14,66.7697,123.3711,22.75,88,100,6.96
208,Anloga,GH,2022-05-07 18:14:08,5.7947,0.8973,82.36,79,88,9.95
209,Poum,NC,2022-05-07 18:14:08,-20.2333,164.0167,76.28,71,17,15.08
210,Karratha,AU,2022-05-07 18:14:09,-20.7377,116.8463,75.81,68,11,7.16
211,Gien,FR,2022-05-07 18:14:09,47.6933,2.6309,67.44,74,75,5.46
212,Ahipara,NZ,2022-05-07 18:12:09,-35.1667,173.1667,56.41,84,80,3.31
213,Aklavik,CA,2022-05-07 18:14:10,68.2191,-135.0107,37.4,60,20,9.22
214,Vanavara,RU,2022-05-07 18:11:50,60.34,102.2797,33.64,75,52,17.11
215,Teguldet,RU,2022-05-07 18:14:10,57.3064,88.1667,28.11,68,76,13.53
216,Jiguani,CU,2022-05-07 18:14:11,20.3667,-76.4272,87.58,44,5,2.66
217,Namibe,AO,2022-05-07 18:14:11,-15.1961,12.1522,73.09,71,42,5.73
218,Zhezkazgan,KZ,2022-05-07 18:14:12,47.8043,67.7144,52.16,29,10,20.85
219,Te Anau,NZ,2022-05-07 18:10:50,-45.4167,167.7167,56.25,97,99,3.04
220,Yulara,AU,2022-05-07 18:14:12,-25.2406,130.9889,44.78,58,0,9.69
221,Nsanje,MW,2022-05-07 18:15:13,-16.92,35.262,71.08,82,7,2.33
222,Knysna,ZA,2022-05-07 18:15:13,-34.0363,23.0471,58.14,92,99,4.25
223,Tiksi,RU,2022-05-07 18:15:14,71.6872,128.8694,7.88,94,15,7.72
224,Khasan,RU,2022-05-07 18:15:14,42.4308,130.6434,45.86,44,0,6.96
225,Erdenet,MN,2022-05-07 18:15:15,49.0333,104.0833,44.46,67,3,6.29
226,Haines Junction,CA,2022-05-07 18:15:15,60.7522,-137.5108,33.75,86,100,2.3
227,Briancon,FR,2022-05-07 18:15:16,44.9,6.65,52.63,89,93,3.02
