City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,San Patricio,28.017,-97.5169,80.49,92,0,15.19,clear sky
339,Namibe,-15.1961,12.1522,72.99,66,1,3.83,clear sky
340,Maraba,-5.3686,-49.1178,77.18,100,40,2.3,scattered clouds
341,Demba,-5.51,22.2667,73.71,87,86,2.55,overcast clouds
342,Laguna,38.421,-121.4238,58.44,71,0,8.05,clear sky
343,Basco,20.4487,121.9702,83.07,78,100,13.56,overcast clouds
344,Roald,62.5833,6.1333,45.75,70,40,6.91,scattered clouds
345,Corning,42.1428,-77.0547,38.52,86,0,0,clear sky
346,Gat,31.61,34.7642,73.78,30,7,1.54,clear sky
347,Areia Branca,-4.9561,-37.1369,75.04,89,85,10.38,overcast clouds
348,Kendal,54.3268,-2.7476,53.11,83,100,2.64,overcast clouds
349,Bosansko Grahovo,44.1794,16.3639,53.96,82,95,2.62,overcast clouds
350,Brokopondo,4.75,-55.1667,75.7,90,100,7.65,overcast clouds
351,Kropotkin,45.4375,40.5756,50.16,64,100,3.69,overcast clouds
352,Leshukonskoye,64.8989,45.7622,50.83,91,91,10.4,overcast clouds
353,Aden,12.7794,45.0367,85.86,67,100,6.87,overcast clouds
354,Merritt,50.1123,-120.7942,35.13,90,100,3.6,overcast clouds
355,Nichinan,31.6,131.3667,73.08,70,91,4.5,overcast clouds
356,Lakselv,70.0513,24.9718,33.62,80,100,8.05,overcast clouds
357,Moose Jaw,50.4001,-105.5344,48.45,76,100,10.36,overcast clouds
358,Clyde River,70.4692,-68.5914,10.63,92,100,4.61,overcast clouds
359,Yamoto,38.4274,141.2149,66.18,43,100,18.63,overcast clouds
360,Bilibino,68.0546,166.4372,31.42,97,100,1.72,snow
361,Caravelas,-17.7125,-39.2481,75.06,73,88,11.12,overcast clouds
362,Grand-Santi,4.25,-54.3833,71.8,100,100,1.95,overcast clouds
363,Byron Bay,-28.65,153.6167,66.09,75,100,10.02,overcast clouds
364,Vanimo,-2.6741,141.3028,84.96,76,30,10.87,scattered clouds
365,Ulkan,57.243,107.3223,50.43,28,100,15.19,overcast clouds
366,Bubaque,11.2833,-15.8333,76.69,70,12,12.62,few clouds
367,Luzino,54.9481,73.0353,61.77,25,75,13.42,broken clouds
368,Sanandaj,35.3144,46.9923,57.22,31,40,4.61,scattered clouds
369,Oromocto,45.8351,-66.4792,30.7,87,0,3,clear sky
370,Strezhevoy,60.7333,77.5889,41.09,62,42,7.31,scattered clouds
371,Port Moresby,-9.4431,147.1797,89.02,70,40,11.5,haze
372,Prabumulih,-3.45,104.25,86.4,61,100,4.25,overcast clouds
373,Griffith,41.5284,-87.4237,49.89,87,0,0,clear sky
374,Neepawa,50.2289,-99.4664,50.4,78,100,13.62,overcast clouds
375,Trelew,-43.249,-65.3051,68.74,45,74,17.22,broken clouds
